pid,sentence1,sentence2,label,clean_sentence1,clean_sentence2
69606,Can you call me,What should I call you?,0,can you call me,what should i call you
4451,beauty parlour,I am looking for beauty parlour,1,beauti parlour,i am look for beauti parlour
29701,Tell me about Saral Nivesh plan,Assist me with Survival Benefits of saral nivesh plan,0,tell me about saral nivesh plan,assist me with surviv benefit of saral nivesh plan
20162,Can i change the nominee if already updated,How can I change nominee for NSDL account,0,can i chang the nomine if alreadi updat,how can i chang nomine for nsdl account
5772,pnr train,Status of PNR train,1,pnr train,statu of pnr train
40686,view the gk leaderboard,Yesterday GK Leaderboard,0,view the gk leaderboard,yesterday gk leaderboard
17851,show motivational quotes,Give me motivation,1,show motiv quot,give me motiv
19195,Terms & Conditions,Terms,0,term condit,term
41112,I want to apply for a loan,I want to apply refinance loan,0,i want to appli for a loan,i want to appli refin loan
64667,issues post a Root Canal?,root canal procedure,0,issu post a root canal,root canal procedur
1221,Make my trip is giving cheap flights,Cheap flight tickets,0,make my trip is give cheap flight,cheap flight ticket
31898,Where can cashback be used,Where is my cashback ?,0,where can cashback be use,where is my cashback
20803,tell me about discount deal on flight booking,Do u have any offer for flight,0,tell me about discount deal on flight book,do u have ani offer for flight
25193,Remove all chats,delete all my subscriptions,0,remov all chat,delet all my subscript
320,How can I update IFSC code?,I want to update IFSC code,1,how can i updat ifsc code,i want to updat ifsc code
28115,Sxr to dehli air price,Can I get the fare rates of flights from Amritsar to Hyderabad for Dec 3,0,sxr to dehli air price,can i get the fare rate of flight from amritsar to hyderabad for dec 3
2192,cheapest fare guarantee,Pls send me cheapest fare,0,cheapest fare guarante,pl send me cheapest fare
42711,Can i pay my water bill,water bill,1,can i pay my water bill,water bill
71879,Problem in making payment,How to make payment for trains,0,problem in make payment,how to make payment for train
75790,Which component of flue gas is not present in LPG?,How frequent do we need to do flue gas analysis?,0,which compon of flue ga is not present in lpg,how frequent do we need to do flue ga analysi
1663,survival benefit of criticare,I wanna know about Survival Benefits,0,surviv benefit of criticar,i wan na know about surviv benefit
42170,Do you have features for Total Secure Plan,Tell me about Total Secure,0,do you have featur for total secur plan,tell me about total secur
37860,modification Custom Reminder,I would like to change my  custom reminder,0,modif custom remind,i would like to chang my custom remind
63708,I want the password,password,0,i want the password,password
67419,I want to book a cab for later,I want to book a cab,0,i want to book a cab for later,i want to book a cab
16024,show me the joke,I want jokes everyday,0,show me the joke,i want joke everyday
25476,web checkin,i want to do web checkin,1,web checkin,i want to do web checkin
14726,I gave the correct order ID,I've given the correct order number,1,i gave the correct order id,i 've given the correct order number
10317,Today ipl schedule,Who won yesterday in Ipl match,0,today ipl schedul,who won yesterday in ipl match
13198,can cash back be used in,Where is my cash back,0,can cash back be use in,where is my cash back
11146,i have a free voucher code,i have a free voucher,1,i have a free voucher code,i have a free voucher
9604,Book me a cab,Please retry the cab booking.,0,book me a cab,pleas retri the cab book
44424,Share the selection process.,Help me with Vendor selection process in SHV Energy,0,share the select process,help me with vendor select process in shv energi
9425,show me trains,Do haptik now providing train services,1,show me train,do haptik now provid train servic
60672,not able to login,Showing error while I am trying to Login,0,not abl to login,show error while i am tri to login
18758,show me your picture,I don't need your help,0,show me your pictur,i do n't need your help
3264,How will I get the cricket prize,see cricket prizes,0,how will i get the cricket prize,see cricket prize
15498,your app is so boring,I love your app,0,your app is so bore,i love your app
48681,maharashtra state electricity board,TRIPURA STATE ELECTRICITY CORPORATION LTD,0,maharashtra state electr board,tripura state electr corpor ltd
27379,Please tell me best domestic flight offer,Give me best offers on flights,0,pleas tell me best domest flight offer,give me best offer on flight
12239,book cab for home,Cab booking,0,book cab for home,cab book
51846,Want to book flight from Mumbai to Delhi,I want to book flight,0,want to book flight from mumbai to delhi,i want to book flight
20146,I want to change bank account,I want to modify nominee,0,i want to chang bank account,i want to modifi nomine
4864,Give me best offers on flights,Is there student concession flights,0,give me best offer on flight,is there student concess flight
615,Book a flight from Mumbai to Delhi,please proceed below flights new delhi to bangalore 1 adult - onward flight - 3038 jet airways 9w-823 dep 02 50 pm 29 dec,0,book a flight from mumbai to delhi,pleas proceed below flight new delhi to bangalor 1 adult onward flight 3038 jet airway 9w-823 dep 02 50 pm 29 dec
56263,May I please know the Premium for WAAC,what is the premium for WAAC,1,may i pleas know the premium for waac,what is the premium for waac
1706,Still can't find it.,I cannot find my ID,0,still ca n't find it,i can not find my id
52305,what can i earn by inviting friends,How to invite friends?,0,what can i earn by invit friend,how to invit friend
1828,recommend me nearest place for car repair,looking for nearby places with wifi,0,recommend me nearest place for car repair,look for nearbi place with wifi
57075,I got some app complaint,app complaint,1,i got some app complaint,app complaint
14577,cash back not received,did not get cash back,0,cash back not receiv,did not get cash back
42939,I want to know fare for entire month,may i know the price of the test,0,i want to know fare for entir month,may i know the price of the test
3419,how much does the test cost,how much is the test for,1,how much doe the test cost,how much is the test for
73071,Any cash back offers for paying electricity bills,What about Amazon pay offer refund,0,ani cash back offer for pay electr bill,what about amazon pay offer refund
15100,stop,Cancel Flight Booking,0,stop,cancel flight book
38568,did not get One time password,how to get otp,1,did not get one time password,how to get otp
56851,Who will win IPL this year?,Yesterday ipl match who won,0,who will win ipl thi year,yesterday ipl match who won
50874,prepare a reminder medicine,set reminder medicine,1,prepar a remind medicin,set remind medicin
52129,You are quoting higher prices,You price are higher than happy easy go site,0,you are quot higher price,you price are higher than happi easi go site
13788,not able to get the lab id,I am looking to get my,0,not abl to get the lab id,i am look to get my
69103,Are there any approved Contractors for ALDS installations?,Are there any approved contractors,1,are there ani approv contractor for ald instal,are there ani approv contractor
48163,Plz succes it asap,Refund it as soon as possible,0,plz succ it asap,refund it as soon as possibl
8047,I want to book as armed force category,want to purchase Flight Tickets,0,i want to book as arm forc categori,want to purchas flight ticket
55355,tell me about discount deal on flights,More cashback offers,1,tell me about discount deal on flight,more cashback offer
31638,I still can't find it,Can't find order ID.,0,i still ca n't find it,ca n't find order id
19569,Is there is no coupon code for this flight,Where to apply coupon code?,0,is there is no coupon code for thi flight,where to appli coupon code
4240,Kindly tell me when rates go down,Alert me when prices goes down,0,kindli tell me when rate go down,alert me when price goe down
56365,Need to access the wifi,I am not able to access the URL above,0,need to access the wifi,i am not abl to access the url abov
654,recommend me Flight Tickets,I wanna look for flights,0,recommend me flight ticket,i wan na look for flight
13141,like to purchase Flight Tickets,New flight booking,0,like to purchas flight ticket,new flight book
58378,no it is not active,Online active or not,0,no it is not activ,onlin activ or not
10983,contact customer support,how to contact customer support,1,contact custom support,how to contact custom support
27448,Assist me with Survival Benefits of GCAP,Assist me with Survival Benefits of saral nivesh plan,0,assist me with surviv benefit of gcap,assist me with surviv benefit of saral nivesh plan
22719,how much is the premium for Total Secure,Tell me about Total Secure,0,how much is the premium for total secur,tell me about total secur
7503,want ticket from mumbai to pune,please proceed below flights new delhi to bangalore 1 adult - onward flight - 3038 jet airways 9w-823 dep 02 50 pm 29 dec,0,want ticket from mumbai to pune,pleas proceed below flight new delhi to bangalor 1 adult onward flight 3038 jet airway 9w-823 dep 02 50 pm 29 dec
61892,Cash back is not come in my wallet,cash back not received,0,cash back is not come in my wallet,cash back not receiv
16539,What features does Total Secure plan has,What will be the premium for Total Secure,0,what featur doe total secur plan ha,what will be the premium for total secur
76114,any deal,Are there any discount or cashback offers,0,ani deal,are there ani discount or cashback offer
25318,check for trains from mumbai to delhi,i want flights from mumbai to delhi,0,check for train from mumbai to delhi,i want flight from mumbai to delhi
9088,Key features of Total Secure,How much will be the Premium amount for Total Secure,0,key featur of total secur,how much will be the premium amount for total secur
70002,How much I will hate cash back,Any Cash back offer,0,how much i will hate cash back,ani cash back offer
6618,Are there any discount or cashback offers,Do u have any promocode,0,are there ani discount or cashback offer,do u have ani promocod
68820,available train tickets from vizag to Mumbai,Book a flight from Mumbai to Delhi,0,avail train ticket from vizag to mumbai,book a flight from mumbai to delhi
48210,I need to know my report,I need to know my report status,1,i need to know my report,i need to know my report statu
16622,any cashback on flight tickets,suggest Flight Tickets,0,ani cashback on flight ticket,suggest flight ticket
7043,want reminder for walk,can you list my reminder,0,want remind for walk,can you list my remind
1400,hand and body sales growth,how are hand and body sales doing,1,hand and bodi sale growth,how are hand and bodi sale do
19123,Refund of my ticket,Is it refundable,0,refund of my ticket,is it refund
8138,Check for 7pm.,please proceed below flights new delhi to bangalore 1 adult - onward flight - 3038 jet airways 9w-823 dep 02 50 pm 29 dec,0,check for 7pm,pleas proceed below flight new delhi to bangalor 1 adult onward flight 3038 jet airway 9w-823 dep 02 50 pm 29 dec
149,Not Interested,No,0,not interest,no
23143,show train schedule,Can you search a train for me,1,show train schedul,can you search a train for me
20370,Trading account,I just need a trading account,0,trade account,i just need a trade account
30048,suggest me Flight Tickets,looking to Flight Tickets,0,suggest me flight ticket,look to flight ticket
8780,what are discounts available on flight booking,any offers currently available on flights,0,what are discount avail on flight book,ani offer current avail on flight
30084,I need flight,Pls send flight status,0,i need flight,pl send flight statu
58042,Want to share Idea for Shows,Want to share Idea for Voot,0,want to share idea for show,want to share idea for voot
17071,reminder cancel,I want to cancel my reminder,1,remind cancel,i want to cancel my remind
17797,test cost,may i know the cost of the test,1,test cost,may i know the cost of the test
28697,What documents are required for LOI?,Documents Required,0,what document are requir for loi,document requir
68692,i need a painter,painter required urgently,1,i need a painter,painter requir urgent
42591,"Hyundai,Sedan,Wheels and Tyres,Wheel Alignment,Normal,Pickup/Drop","Hyundai,Sedan,Wheels and Tyres,Wheel Alignment,Alloy,Doorstep",1,hyundai sedan wheel and tyre wheel align normal pickup/drop,hyundai sedan wheel and tyre wheel align alloy doorstep
52636,want reminder for jog,exercise reminder,1,want remind for jog,exercis remind
14882,How to use mobikwik cash back?,how to redeem,0,how to use mobikwik cash back,how to redeem
61704,show flights on,provide me Flight Tickets,1,show flight on,provid me flight ticket
15412,what are discounts available on flight booking,Book a flight,0,what are discount avail on flight book,book a flight
29067,I would like to change my to- do reminder,"Hey, can you set a reminder for me to call someone?  .",0,i would like to chang my to- do remind,hey can you set a remind for me to call someon
33946,No one is available at your information helpdesk,Not been able to find information helpdesk,0,no one is avail at your inform helpdesk,not been abl to find inform helpdesk
11528,Give me your pic,send your picture,1,give me your pic,send your pictur
1709,How much to pay for this?,not able to pay,1,how much to pay for thi,not abl to pay
62008,want reminder for exercise,to view my reminders,0,want remind for exercis,to view my remind
67704,Planning to go for trip to goa,best fare from mumbai to pune,0,plan to go for trip to goa,best fare from mumbai to pune
1512,want to know the interest rates for home loan,I want to know interest rates,0,want to know the interest rate for home loan,i want to know interest rate
29436,important features of total secure,how much is the premium for Total Secure,0,import featur of total secur,how much is the premium for total secur
69996,I want to get a flight booked,to buy Flight Tickets,0,i want to get a flight book,to buy flight ticket
25610,cricket prize announcement,Any cricket prize?,0,cricket prize announc,ani cricket prize
54693,map link,google map link,1,map link,googl map link
68798,i need to get my house painted,paint my home,1,i need to get my hous paint,paint my home
55179,leader board,show the cricket leader board,0,leader board,show the cricket leader board
42482,Modify this drink water reminder,drink water,0,modifi thi drink water remind,drink water
38399,I would like to book a flight ticket,I want to book flight,1,i would like to book a flight ticket,i want to book flight
46253,Whom to reach on contact problems?,Whom to reach incase of complaint?,0,whom to reach on contact problem,whom to reach incas of complaint
60705,Show my latest rank in gk,show my gk rank,1,show my latest rank in gk,show my gk rank
72278,Can I get the fare rates of flights from Amritsar to Hyderabad for Dec 3,Planning to go for trip to goa,0,can i get the fare rate of flight from amritsar to hyderabad for dec 3,plan to go for trip to goa
69470,Cash back not received Amazon pay,The case back not received till now,0,cash back not receiv amazon pay,the case back not receiv till now
29497,Hi! I need some help planning my Train Travel! .,I want to check the schedule of a train.,0,hi i need some help plan my train travel,i want to check the schedul of a train
29080,Send me flight timings from Mumbai to Delhi,recommend me Flight Tickets,0,send me flight time from mumbai to delhi,recommend me flight ticket
15676,i want to buy more wifi,Steps to buy,0,i want to buy more wifi,step to buy
39177,Landline bill payment is available?,Landline bill,1,landlin bill payment is avail,landlin bill
42769,sorry change that reminder,I want to edit my reminder,1,sorri chang that remind,i want to edit my remind
17610,Can you schedule a reminder for meeting,schedule a reminder,0,can you schedul a remind for meet,schedul a remind
18410,I want to play the quiz,Play,0,i want to play the quiz,play
15921,how to spend cash back on haptik?,How to pay,0,how to spend cash back on haptik,how to pay
66455,I want a bot for HR,I am looking for a bot human hybrid model,0,i want a bot for hr,i am look for a bot human hybrid model
63465,customise corporate tour,corporate tour inclusions,0,customis corpor tour,corpor tour inclus
65791,What will be the warranty for Adopter?,What is the warranty period for the regulators ?,0,what will be the warranti for adopt,what is the warranti period for the regul
58270,Whom to reach in Fire situation?,In case of issue whom to reach,0,whom to reach in fire situat,in case of issu whom to reach
24078,I dont want to book right now,like to buy Flight Tickets,0,i dont want to book right now,like to buy flight ticket
12079,may i know the cost of the test,May I know the prize,0,may i know the cost of the test,may i know the prize
21441,It's not active,I don't have an active India mobile number,0,it 's not activ,i do n't have an activ india mobil number
29455,set reminder jog,schedule a reminder medicine,0,set remind jog,schedul a remind medicin
28479,Check GK winners list,Check winners list,0,check gk winner list,check winner list
364,I gave the correct ID.,I've already given the correct ID.,1,i gave the correct id,i 've alreadi given the correct id
64030,status of address change request,address change status,0,statu of address chang request,address chang statu
36336,Still not received cashback,Still not received Paypal Cashback,0,still not receiv cashback,still not receiv paypal cashback
1362,Can the vouchers be used by my tenant?,Can adults use the voucher,0,can the voucher be use by my tenant,can adult use the voucher
340,I need a invoice copy,I want invoices,1,i need a invoic copi,i want invoic
53697,pin didnt came,One time password did not come,1,pin didnt came,one time password did not come
53772,OTP did not come,password did not come,1,otp did not come,password did not come
46328,show ur pic,can you give me ur number,0,show ur pic,can you give me ur number
2562,remind me to play the haptik quiz,I want you to remind me fare of this flight,0,remind me to play the haptik quiz,i want you to remind me fare of thi flight
4149,Trade Listing,reports for trade listing,1,trade list,report for trade list
13205,That order ID is correct,Can you help me find my order ID?,0,that order id is correct,can you help me find my order id
4306,No dont remind me,Dont remind,1,no dont remind me,dont remind
11487,Proposal sent no response,Complains about no response from the HR,0,propos sent no respons,complain about no respons from the hr
46661,send me your photo,I want your number plz,0,send me your photo,i want your number plz
1921,I want to book flight tickets for Christmas,I need to book tickets,0,i want to book flight ticket for christma,i need to book ticket
41524,Ledger Report,Present ledger report,1,ledger report,present ledger report
15907,book flight tickets,send flight tickets,0,book flight ticket,send flight ticket
24158,I want offers on flights,Tutorial for flights coupon code,0,i want offer on flight,tutori for flight coupon code
51261,Book me a night ticket to Delhi tomorrow,Send me flight timings from Mumbai to Bangalore,0,book me a night ticket to delhi tomorrow,send me flight time from mumbai to bangalor
40846,want reminder for medicine,need a reminder,0,want remind for medicin,need a remind
49061,Didnt receive cashback,In which account will i receive the cashback,0,didnt receiv cashback,in which account will i receiv the cashback
27982,Didnt receive One time password,Have received OTP now,0,didnt receiv one time password,have receiv otp now
9170,Health Plans,Tell me about Health Plan,1,health plan,tell me about health plan
1438,may i know s Prolactin test cost,I wanted to know the HCV RNA blood test fee,0,may i know s prolactin test cost,i want to know the hcv rna blood test fee
39586,I gave a true order ID,I gave the right order ID,0,i gave a true order id,i gave the right order id
53451,I want offers on flights,Tutorial for flights discounts,0,i want offer on flight,tutori for flight discount
13572,Cancel my reminder,Cancel,0,cancel my remind,cancel
2768,Username,Username and Password,0,usernam,usernam and password
1619,Remind me when fares drop,If prices drop same flight please remind me,0,remind me when fare drop,if price drop same flight pleas remind me
65388,want train tickets from mumbai to pune,i want flights from mumbai to delhi,0,want train ticket from mumbai to pune,i want flight from mumbai to delhi
2074,I want to book flight,Help me with flight booking,0,i want to book flight,help me with flight book
36089,Loan Amount,How to get larger loan amount,0,loan amount,how to get larger loan amount
69481,can i use an old otp,i have an old One time password,1,can i use an old otp,i have an old one time password
51988,What is the process for Registration of unit,What is the process of cancellation of the unit ?,0,what is the process for registr of unit,what is the process of cancel of the unit
61292,recommend Flight Tickets,I want to book flight tickets for Christmas,0,recommend flight ticket,i want to book flight ticket for christma
42701,set a reminder drink water,schedule a reminder walk,0,set a remind drink water,schedul a remind walk
68669,Can I get the fare rates of flights from Amritsar to Hyderabad for Dec 3,I want to know the flight prices to Delhi,0,can i get the fare rate of flight from amritsar to hyderabad for dec 3,i want to know the flight price to delhi
50139,Book flights,Please help me with booking flight tickets,0,book flight,pleas help me with book flight ticket
31267,Book Service: Beauty,book beauty service,1,book servic beauti,book beauti servic
47671,Can u send ur picture,Send your Number...,0,can u send ur pictur,send your number ...
74124,where is the info desk for assistance,where the information desk is,1,where is the info desk for assist,where the inform desk is
2567,That's my correct ID,I gave correct id,1,that 's my correct id,i gave correct id
6742,calculate wealth plus premium,wealth plus,0,calcul wealth plu premium,wealth plu
6528,show quiz leader board,previous leader board,0,show quiz leader board,previou leader board
19233,Act bill pay,pay my bill.,0,act bill pay,pay my bill
34,Check Interest rates,I want to know interest rates,0,check interest rate,i want to know interest rate
24993,"Premium,Interior Premium","SUV,Interior Premium",1,premium interior premium,suv interior premium
59855,am I eligible for any cricket prize today,How to avail cricket prize,0,am i elig for ani cricket prize today,how to avail cricket prize
34217,want Flight Tickets,show flights on,1,want flight ticket,show flight on
15329,more mutton shop,mutton shop at,1,more mutton shop,mutton shop at
46257,i would like to cancel wake up call,stop wake up call,1,i would like to cancel wake up call,stop wake up call
58078,Childs broken tooth,preserve the broken tooth,0,child broken tooth,preserv the broken tooth
45694,I want offers on cab booking.,I want discounts on uber.,1,i want offer on cab book,i want discount on uber
43504,No cashback credited to my Amazon account,Can I delete Haptik account completely,0,no cashback credit to my amazon account,can i delet haptik account complet
53029,If net is off i will get call for alarm reminder,Why m i not getting calls,0,if net is off i will get call for alarm remind,whi m i not get call
12968,want reminder for anniversary,give reminder,0,want remind for anniversari,give remind
52430,to buy Flight Tickets,find Flight Tickets,0,to buy flight ticket,find flight ticket
23638,Is there any cashback,Any Discount on Movie Ticket,0,is there ani cashback,ani discount on movi ticket
11431,My order ID was right,I gave the correct order ID,0,my order id wa right,i gave the correct order id
9684,can I check for my report,check my report status,1,can i check for my report,check my report statu
59451,Any cashback on flights,i want offer on flight tickets,0,ani cashback on flight,i want offer on flight ticket
46984,How mylife+ is helpful?,Help me with the mylife+,1,how mylife+ is help,help me with the mylife+
68284,what is the procedure to change the address,modify address,1,what is the procedur to chang the address,modifi address
56765,Any cashback on train booking?,any deal,1,ani cashback on train book,ani deal
13766,how to delete the app,how to download this app,0,how to delet the app,how to download thi app
70962,Book me a night ticket to Delhi tomorrow,delhi to kolkata,0,book me a night ticket to delhi tomorrow,delhi to kolkata
408,Manage my flight bookings,want to buy Flight Tickets,0,manag my flight book,want to buy flight ticket
22688,Took a long time to make changes to my booking,It was troublesome to change my booking,0,took a long time to make chang to my book,it wa troublesom to chang my book
22814,How to use mobikwik cashback?,how to redeem,0,how to use mobikwik cashback,how to redeem
23007,Hi i want to book flight tickets .,"Hi, I want to book a flight ticket using the cashback offer .",1,hi i want to book flight ticket,hi i want to book a flight ticket use the cashback offer
68504,I want to delete all old message,I would like to cancel Joke of the day subscription,0,i want to delet all old messag,i would like to cancel joke of the day subscript
4975,remiand me about phone,remiand me about walk,0,remiand me about phone,remiand me about walk
74691,send me your photo,I want ur no.,0,send me your photo,i want ur no
55844,Home Extension loan,Home extension,1,home extens loan,home extens
33729,Cancel flight booking,Hi i want to book flight tickets .,0,cancel flight book,hi i want to book flight ticket
19009,12kg LPG,17kg,0,12kg lpg,17kg
40677,Need tickets,want ticket from mumbai to pune,0,need ticket,want ticket from mumbai to pune
23724,Can you please arrange a call back?,can you arrange for a call,1,can you pleas arrang a call back,can you arrang for a call
11499,Customer care,Our Customer care number,1,custom care,our custom care number
41961,Do u have any offer for flight,Tutorial for flights deals,0,do u have ani offer for flight,tutori for flight deal
8798,I would like to cancel,I want to cancel my reminder,1,i would like to cancel,i want to cancel my remind
22883,not able to pay,how to pay for paid internet,0,not abl to pay,how to pay for paid internet
2618,tell me about your escalation matrix for domestic cylinders,Use domestic cylinder in my car,0,tell me about your escal matrix for domest cylind,use domest cylind in my car
17695,Reserving was super timing consuming,booking was super time consuming,0,reserv wa super time consum,book wa super time consum
64352,Check flight between cities,Can you check flights,0,check flight between citi,can you check flight
7318,Can I call and place the order for new supply?,Can I order for the new connection through phone or any digital platform ?,0,can i call and place the order for new suppli,can i order for the new connect through phone or ani digit platform
39802,pay maintenance charge before possession,Sell unit before possession,0,pay mainten charg befor possess,sell unit befor possess
22161,its not working,OTP not working,0,it not work,otp not work
7527,Can you schedule a reminder for jog,set reminder medicine,0,can you schedul a remind for jog,set remind medicin
33386,set a wake up alarm,set a wakeup call,1,set a wake up alarm,set a wakeup call
49846,I need your help,Send me your mobile number,0,i need your help,send me your mobil number
64699,need a reminder,I want to search for a reminder,1,need a remind,i want to search for a remind
10,I did not get cashback,I not get Cash back,0,i did not get cashback,i not get cash back
46381,Schedule a reminder for horoscope,horoscope,0,schedul a remind for horoscop,horoscop
63864,Launch date of the new show,Request for new shows,0,launch date of the new show,request for new show
9050,want reminder for jog,reminder for exercise,1,want remind for jog,remind for exercis
1404,want to buy Flight Tickets,I want to book flight tickets for Guru Nank Jayanti,0,want to buy flight ticket,i want to book flight ticket for guru nank jayanti
74688,Cash back not credited,Cash back not received Amazon pay,0,cash back not credit,cash back not receiv amazon pay
68778,Problem in making payment,Where to make payment for trains,0,problem in make payment,where to make payment for train
10272,That was the right ID only,I gave the right ID,1,that wa the right id onli,i gave the right id
361,cashback on flights,Show me some offers on flights.,1,cashback on flight,show me some offer on flight
33345,Show next Health benefit,Provide more Health benefits,0,show next health benefit,provid more health benefit
18513,When the bollywood price will be announced,what is the price for bollywood,0,when the bollywood price will be announc,what is the price for bollywood
8340,please give Armed Forces Concession,want mumbai to bangalore flights,0,pleas give arm forc concess,want mumbai to bangalor flight
64604,tv is not working,tap is not working,0,tv is not work,tap is not work
4827,Uber,want to purchase uber,0,uber,want to purchas uber
17365,Jamshedpur Electricity bill,Electric bill payment,0,jamshedpur electr bill,electr bill payment
49996,what is my Phone Pay balance?,can i pay by phone bill,0,what is my phone pay balanc,can i pay by phone bill
62232,any offers,Are there any offers,1,ani offer,are there ani offer
31374,What is the cancellation policy for a Customized holiday,What is the cancellation policy in case of a medical emergency?,0,what is the cancel polici for a custom holiday,what is the cancel polici in case of a medic emerg
8717,can't connect,still cant connect my device,0,ca n't connect,still cant connect my devic
28025,I want to add a new reminder.,Hey can you help me add a new To-do  .,0,i want to add a new remind,hey can you help me add a new to-do
59379,Check Cricket Score & Rank,show cricket leaderboard,0,check cricket score rank,show cricket leaderboard
13262,Please help me with flight booking,Book me a flight,0,pleas help me with flight book,book me a flight
2620,how can i check cash bonus,how do I check my referral code,0,how can i check cash bonu,how do i check my referr code
50121,How will I get to know about gk prize?,check GK prize,0,how will i get to know about gk prize,check gk prize
69475,What difference your LPG has?,from where you import your LPG,0,what differ your lpg ha,from where you import your lpg
75286,I want to check my old report,i want to check in,0,i want to check my old report,i want to check in
11057,what type of reminders can you set,Can you schedule a reminder for exercise,0,what type of remind can you set,can you schedul a remind for exercis
3432,how to add referral code,How can I use referral code,0,how to add referr code,how can i use referr code
126,I would like to buy home on down payment in 6 months  and 35 crores,I want like to buy samsung headphones in 2 months in 10000,0,i would like to buy home on down payment in 6 month and 35 crore,i want like to buy samsung headphon in 2 month in 10000
49030,I want to modify my last grievance,status of my last grievance,0,i want to modifi my last grievanc,statu of my last grievanc
76236,my reminder list,want reminder for wake up,0,my remind list,want remind for wake up
65464,fuck u,This is the worst app,0,fuck u,thi is the worst app
44746,view the bollywood leaderboard,show previous day bollywood leaderboard,0,view the bollywood leaderboard,show previou day bollywood leaderboard
56115,Book me a flight,Please help me with booking flight tickets,0,book me a flight,pleas help me with book flight ticket
35630,how to add a card,how to add money,0,how to add a card,how to add money
37999,schedule a reminder birthday,schedule a reminder exercise,0,schedul a remind birthday,schedul a remind exercis
46190,I need flight,What is the check-in baggage limit for the flight you suggested,0,i need flight,what is the check-in baggag limit for the flight you suggest
20586,Where are it's bottling plants ?,Where is SUPER GAS bottling plant in Hyderabad?,0,where are it 's bottl plant,where is super ga bottl plant in hyderabad
35031,order food,need to order food,1,order food,need to order food
31239,suggest Flight Tickets,I want to book flight tickets for ID-E-MILAD,0,suggest flight ticket,i want to book flight ticket for id-e-milad
64102,provide me Flight Tickets,Price of flight tickets to Switzerland,0,provid me flight ticket,price of flight ticket to switzerland
1732,Please help me with booking flight tickets,I want to book flight tickets.,0,pleas help me with book flight ticket,i want to book flight ticket
71746,What are the charges for getting a new connection,how to get a new gas connection,0,what are the charg for get a new connect,how to get a new ga connect
11885,todays ipl match results,Tomorrow ipl match,0,today ipl match result,tomorrow ipl match
41395,I need to book a flight,i want to buy a bike,0,i need to book a flight,i want to buy a bike
19098,How to verify my mail id,how much time u want to verify,0,how to verifi my mail id,how much time u want to verifi
5681,whats the eligibility criteria,eligibility criteria for total secure plus,0,what the elig criteria,elig criteria for total secur plu
6638,cancel my flight,I want to cancel flight,1,cancel my flight,i want to cancel flight
47015,Book me a cab,I want to book a cab for later,0,book me a cab,i want to book a cab for later
33498,Need to know the features of Total Secure plan,May I please know the Premium for Total Secure,0,need to know the featur of total secur plan,may i pleas know the premium for total secur
62730,know about horoscope,Hi! I want to know about weight loss services. .,0,know about horoscop,hi i want to know about weight loss servic
30961,I need to book tickets,Hi! I want to book a bus ticket. .,0,i need to book ticket,hi i want to book a bu ticket
8843,No One time password received yet,OTP did not come,0,no one time password receiv yet,otp did not come
20005,I need a reminder to drink water,Will you remind me to drink water?,1,i need a remind to drink water,will you remind me to drink water
39838,Check flight rate,Pls help me on above flight check in,0,check flight rate,pl help me on abov flight check in
33519,Can u please track the price for me and let me know when the price falls,Remind me when fares drop,0,can u pleas track the price for me and let me know when the price fall,remind me when fare drop
1708,I want to check flights,Can you check flights,1,i want to check flight,can you check flight
52507,Landline bill payment is available?,landline bill payments,1,landlin bill payment is avail,landlin bill payment
20337,Cash bonus is blocked,block my bonus,1,cash bonu is block,block my bonu
70517,book ticket from mumbai to pune,flights to Dubai,0,book ticket from mumbai to pune,flight to dubai
4158,auto connect iphone,How to connect to the internet using auto connect,0,auto connect iphon,how to connect to the internet use auto connect
13372,Need invoice of my air tickets,I want invoice for my tests,0,need invoic of my air ticket,i want invoic for my test
5402,I need 2 tickets,show for 2nd july,0,i need 2 ticket,show for 2nd juli
58283,I need to book tickets,I want to book home collection,0,i need to book ticket,i want to book home collect
11575,12kg LPG cylinder,Hotel LPG Cylinders,0,12kg lpg cylind,hotel lpg cylind
24943,Want to book my seat,book my seats,1,want to book my seat,book my seat
55552,Check  cricket winners list,cricket winners,1,check cricket winner list,cricket winner
6686,Very good,Good Night,0,veri good,good night
16457,what are the benefits of saral nivesh,Assist me with Survival Benefits of saral nivesh plan,1,what are the benefit of saral nivesh,assist me with surviv benefit of saral nivesh plan
20356,If guest returns the currency in the form of Coins?,return currency mode,0,if guest return the currenc in the form of coin,return currenc mode
58911,I want to book bus tickets for ID-E-MILAD,bus,0,i want to book bu ticket for id-e-milad,bu
747,start flight alert,Please set a cheap flight alert,0,start flight alert,pleas set a cheap flight alert
52745,Want to book flight from Mumbai to Delhi,show me flights from mumbai to pune,1,want to book flight from mumbai to delhi,show me flight from mumbai to pune
11231,Send your pic,Can u send me your number,0,send your pic,can u send me your number
17424,I didnt get the ticket in email,Please mail me the tickets,1,i didnt get the ticket in email,pleas mail me the ticket
2958,I need details about flights,Stop these messages about flights,0,i need detail about flight,stop these messag about flight
18752,Book me a flight,Want to book flight from Mumbai to Delhi,0,book me a flight,want to book flight from mumbai to delhi
8755,No more alerts please,I am no more interested,0,no more alert pleas,i am no more interest
59975,paint my home,i want my house painted,1,paint my home,i want my hous paint
